CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Fort McMurray (AB)	30/04/2016 12:00:00 AM	Fort McMurray (AB), du 30 avril au 1er juin 2016. En mai 2016, des incendies irréprimés se sont déclarés dans le nord de l’Alberta, donnant lieu à la catastrophe naturelle la plus coûteuse de l’histoire du Canada. La ville de Fort McMurray, située au cœur des sables bitumineux d’Athabasca, a été frappée par un important système de feux irréprimés qui a balayé la municipalité régionale de Wood Buffalo. Le premier feu irréprimé a été découvert le 30 avril, au nord de Fort McMurray. La municipalité régionale a déclaré un état d’urgence local et donné un ordre d’évacuation obligatoire pour le parc Centennial le 1er mai, et un autre ordre d’évacuation pour Prairie Creek et le parc à roulottes Centennial le 2 mai. L’incendie de Fort McMurray s’est rapidement propagé en raison de la vague de chaleur et de sécheresse, doublant d’envergure pour atteindre 2 656 hectares en quelques heures. Le 3 mai, l’incendie irréprimé s’est intensifié et a traversé l’autoroute 63, coupant la route aux personnes évacuées et incitant la Première Nation des Chipewyans d’Athabasca à déclarer un état d’urgence local et à donner un ordre d’évacuation obligatoire pour la basse ville et le centre-ville de Fort McMurray, ce qui comprenait les collectivités de Gregoire, Beacon Hill, Abasand, Waterways, Draper, Saline Creek, Grayling Terrace, Thickwood, Wood Buffalo et Dickinsfield. Plus tard dans la journée, toute la ville de Fort McMurray faisait l’objet d’un ordre d’évacuation obligatoire. Pendant les évacuations, deux personnes ont été tuées dans un accident d’automobile. Le 4 mai, le gouvernement de l’Alberta a déclaré un état d’urgence provincial. L’incendie de Fort McMurray s’est rapidement propagé sur 85 000 hectares, alors que le feu irréprimé s’étendait plus au nord et à l’est, passant finalement à travers Fort McMurray. Les personnes évacuées qui se sont enfuies au nord de Fort McMurray ont dû être transportées par voie aérienne vers un lieu sécuritaire. Quelques personnes évacuées ont été transportées au lac La Biche, tandis que la majorité a été envoyée à Edmonton et Calgary. Le 10 mai, deux des principaux feux de Fort McMurray ont fusionné et ont formé un immense brasier de 229 000 hectares. Le 16 mai, tous les travailleurs des camps de travail et des exploitations de sables bitumineux au nord de Fort McMurray ont été forcés à se déplacer vers le sud, puisque le feu irréprimé s’étendait plus au nord. Les résidents de Fort McMurray ont été autorisés à retourner chez eux le 1er juin. En tout, l’incendie de Fort McMurray a brûlé environ 579 767 hectares de terres, causant l’évacuation de plus de 90 000 personnes. Il a détruit 2 400 maisons et entreprises, et endommagé 530 autres bâtiments. Au plus fort de l’incendie, plus de 2 000 pompiers combattaient les feux chaque jour, y compris à l’aide d’hélicoptères et de bombardiers d’eau. De plus, les pompiers ont reçu de l’aide de 200 pompiers des États-Unis, 60 du Mexique et 298 d’Afrique du Sud. Les pompiers et le personnel d’intervention d’urgence ont reçu de l’aide de la Croix-Rouge canadienne, qui a participé aux efforts d’évacuation.	2		90000	4068678000.0000	190125140.2	01/06/2016 12:00:00 AM	468678000.0000					3600000000.0000				
Désastre	Naturel	Météorologique - hydrologique	Inondation	Première nation de Kashechewan (ON)	27/04/2016 12:00:00 AM	Première Nation Kashechewan (ON), 27 au 30 avril 2016. Le 27 avril, le chef de la Première Nation Kashechewan a déclaré un état d’urgence en raison de la débâcle printanière annuelle, de la fonte des neiges et de l’écoulement subséquent le long de la côte de la baie James. En tout, 1 207 des 1 600 résidents qui vivent dans la réserve du nord de l’Ontario ont évacué leurs maisons dans le cadre des nombreuses phases d’évacuation qui ont eu lieu les 29 et 30 avril. Les personnes évacuées ont été transportées à Kapuskasing et Thunder bay.			1207	0.0000	0.0	30/04/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Paul First Nation AB	18/04/2016 12:00:00 AM	Première Nation Paul (AB), du 18 au 21 avril 2016. Un état d’urgence a été déclaré pour la collectivité de la Première Nation Paul, située au lac Wabumun à 70 km à l’ouest d’Edmonton. Un important incendie irréprimé brûlait à proximité dangereuse de la collectivité, menaçant 21 maisons dans le coin nord-est de la réserve. L’incendie irréprimé qui a détruit une maison a forcé l’évacuation de 164 personnes à l’extérieur de la collectivité de 1 100 résidents. Des incendies irréprimés dans les environs d’Edmonton ont détruit deux maisons et un camion incendie, et blessé deux pompiers.		2	164	0.0000	0.0	21/04/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Nouvelle-Écosse	05/04/2016 12:00:00 AM	Nouvelle-Écosse, 5 avril 2016. Plusieurs pannes d’électricité s’étendant de la vallée de l’Annapolis au cap Breton ont laissé jusqu’à 11 000 maisons et entreprises (environ 33 000 personnes) sans courant. Les pannes d’électricité ont été causées par des vents violents et de fortes pluies qui ont poussé des arbres sur les lignes électriques. Les régions touchées comprennent Coldbrook, Tatamagouche, Antigonish et Cheticamp. De nombreuses écoles et entreprises ont été fermées en raison des pannes d’électricité. De plus, des vents violents ont causé la fermeture temporaire du service de traversiers de l’île Tancook.				0.0000	0.0	05/04/2016 12:00:00 AM								33000		
Incident	Technologie	Le feu	Résidentiel	Première nation Pikangikum (ON)	29/03/2016 12:00:00 AM	Première Nation de Pikangikum (ON), 29 mars 2016. Un incendie de résidence dans la collectivité éloignée du nord-ouest de l’Ontario de la Première Nation Pikangikum a fait neuf morts. Toutes les victimes étaient des membres de la famille et sont décédées intoxiquées par des fumées. Un bébé de cinq mois et deux enfants de deux et quatre ans respectivement ont été les plus jeunes victimes. La cause de l’incendie est inconnue.	9			0.0000	0.0	29/03/2016 12:00:00 AM										
Désastre	Naturel	Géologique	Éboulement	Horton (ON)	28/03/2016 12:00:00 AM	Horton (ON), les 28 et 29 mars 2016. Un glissement de terrain de 10 hectares dans la municipalité de Horton a glissé dans la rivière Bonnechère à proximité de Renfrew, en Ontario. Le glissement de terrain a congestionné la rivière avec des arbres et des débris, causant un blocage qui a entraîné une inondation ayant atteint sept mètres. L’inondation a détruit un chalet et un camp de chasse, ainsi que causé des dommages à l’usine de traitement des eaux usées et à la centrale hydroélectrique de Renfrew.				0.0000	0.0	29/03/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Sud de l'Ontario	23/03/2016 12:00:00 AM	Sud de l’Ontario, du 23 au 26 mars 2016. Un front chaud au-dessus du sud de l’Ontario a causé des chutes de neige, de pluie et de pluie verglaçante sur une période de trois jours. Le temps humide a commencé par de la neige pour de nombreuses régions dans la région du Grand Toronto (RGT), puis s’est ensuite brièvement transformé en pluie avant que la pluie verglaçante ne tombe pendant la nuit. Le 24 mars, de la pluie verglaçante s’est abattue sur les régions à l’ouest de Toronto et de la RGT. Les zones très élevées, y compris l’escarpement du Niagara, les Dundalk Highlands et certaines parties de la RGT, ont reçu de la pluie verglaçante pendant 24 heures. De la pluie verglaçante est tombée partout dans le sud de l’Ontario jusqu’au 26 mars, laissant plusieurs collectivités avec une importante accumulation de glace, y compris 35 mm à Fergus, 33 mm à Orangeville, 20 mm à Brampton et Newmarket, ainsi que 10 mm au nord de Barrie et Toronto. La pluie verglaçante a causé des dommages aux biens personnels et à l’infrastructure municipale en raison de l’importante accumulation de glace. Les arbres tombés ont détruit des lignes électriques et causé des dommages à des maisons, des dépendances et des véhicules. Environ 100 000 clients hydroélectriques (300 000 personnes) se sont retrouvés sans courant pendant l’orage. De plus, l’orage a causé l’annulation des vols entrants et sortants à l’aéroport international Pearson de Toronto et à l’aéroport Billy Bishop de Toronto. Il a aussi entraîné la fermeture d’écoles et l’interruption de services d’autobus municipaux.				0.0000	0.0	26/03/2016 12:00:00 AM								300000		
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Portion sud de la côte et basses-terres continentales de la Colombie-Britannique	09/03/2016 12:00:00 AM	Portion sud de la côte et basses-terres continentales de la Colombie-Britannique, les 9 et 10 mars 2016. Un système de tempête au large de la côte de la Colombie-Britannique a généré une tempête de vent qui a touché l’île de Vancouver, la partie sud-ouest de la côte et les basses-terres continentales. La tempête a produit jusqu’à 100 mm de pluie et des rafales de vent de plus de 100 km/h dans certaines zones. De fortes pluies ont causé des inondations localisées dans la vallée de Comox, à Port Mellon et à Port Alberni et provoqué un glissement de boue dans la vallée Cowichan. Des vents violents et la marée haute ont contribué à l’onde de tempête qui accompagnait l’orage, causant des inondations côtières à Delta, Richmond et White Rock. On attribue aux vents violents de très importants dommages, dont les arbres tombés qui ont abattu des lignes électriques, laissant 160 000 clients de B.C. Hydro (environ 480 000 personnes) sans courant. En raison des pannes de courant, 11 écoles ont été fermées à Surrey, ainsi que cinq à Abbotsford et cinq à Mission. Les vents puissants ont aussi endommagé des toitures, brisé des fenêtres et même fait se retourner un avion Cessna. De plus, une personne à Port Moody a été tuée lorsqu’un arbre s’est écrasé sur le toit de sa maison alors qu’elle était à l’intérieur.	1			0.0000	0.0	10/03/2016 12:00:00 AM								480000		
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Ontario, Quebec, Nouveau-Brunswick, Nove Scotia, Île-du-Prince-Édouard et Terre-Neuve	24/02/2016 12:00:00 AM	Ontario, Québec, Nouveau-Brunswick, Nouvelle-Écosse, Île-du-Prince-Édouard et Terre-Neuve, du 24 au 26 février 2016. Un système de tempête a fait son chemin vers le nord-est des États-Unis jusqu’aux Grands Lacs à la fin février. Le système s’est déplacé vers l’est du Canada, ayant des conséquences à grande échelle en Ontario, au Québec, au Nouveau-Brunswick, en Nouvelle-Écosse, à l’Île-du-Prince-Édouard et à Terre-Neuve. Le 24 février, de la pluie verglaçante a causé une accumulation de glace ayant atteint 25 mm dans certaines parties de l’Ontario, du Québec et du Nouveau-Brunswick. Le 25 février, le Québec et le Nouveau-Brunswick ont connu plusieurs heures de pluie verglaçante continue. De fortes pluies et des orages ont suivi la pluie verglaçante, ce qui a donné lieu à des pluies totales de 51 mm à Hamilton, en Ontario, de 36 mm à Lennoxville, au Québec, et de 68 mm à Gray River, à Terre-Neuve. Une combinaison de pluie et de temps doux qui a fait fondre la glace et la neige a entraîné des inondations localisées dans de nombreuses collectivités. Des sous-sols inondés ont été signalés à Cornwall, en Ontario, de nombreux passages souterrains ont été fermés en raison d’inondations à Montréal, au Québec, tandis que les services d’incendie locaux dans le nord du Nouveau-Brunswick ont averti les conducteurs du mauvais état des routes en raison des ornières de glace et des inondations isolées. De nombreux états d’urgence locaux ont été déclarés dans les Cantons de l’Est du Québec, où la débâcle a entraîné l’inondation des rivières locales. Environ 200 résidents ont été évacués et plus de 50 maisons à Beauceville, au Québec, ont été endommagées par les inondations. Les arbres tombés alourdis par la glace et la neige pesantes ont endommagé des lignes électriques, ce qui a entraîné des pannes d’électricité à grande échelle. Le Québec a été le plus durement frappé avec plus de 250 000 clients hydroélectriques (environ 750 000 personnes) touchés par les pannes d’électricité.			200	0.0000	0.0	26/02/2016 12:00:00 AM								750000		
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Basses-terres continentales de la Colombie-Britannique	29/08/2015 12:00:00 AM	Basses-terres continentales (C.-B.), 29 août 2015. Une des pires tempêtes de vent à avoir touché la province depuis des décennies a frappé les basses-terres continentales de la Colombie-Britannique. Les régions les plus touchées ont été Surrey, Richmond, Abbotsford et l’ouest de la vallée du Fraser. À l’île Saturna, on a enregistré des rafales de vent qui ont atteint 117 km/h. Les vents puissants ont subséquemment fait tomber des centaines d’arbres, qui ont endommagé des maisons, des véhicules et des lignes électriques. En tout, environ 500 000 clients (1 500 000 personnes) ont manqué d’électricité en raison des lignes électriques endommagées. Certaines régions ont manqué d’électricité de façon temporaire, tandis que d’autres ont été laissées sans courant pendant plus de trois jours. Les arbres tombés ont causé des dommages à des propriétés résidentielles et commerciales. Les débris et l’arrêt des feux de circulation ont créé de graves problèmes de congestion. Il y a eu de nombreux signalements d’un nombre indéterminé de personnes qui ont subi des blessures en raison des arbres tombés et des débris. Une personne a été grièvement blessée et transportée à l’hôpital après qu’un arbre fut tombé sur elle alors qu’elle était à l’extérieur avec sa fille. De plus, un Sky Train de Vancouver a été endommagé par un arbre tombé, ce qui a entraîné des retards dans le service. Les vents violents qui ont fait tomber des centaines d’arbres ont aussi causé la fermeture du parc Stanley, de la Pacific National Exhibition (PNE) et des traversiers.		1		0.0000	0.0	29/08/2015 12:00:00 AM								1500000		
